Date,Time,Token ID
2021-05-05,08:00,2145
2021-05-05,08:00,2006
2021-05-05,08:00,5455
2021-05-05,08:00,3642
2021-05-05,08:01,4586
2021-05-05,08:02,1879
2021-05-05,08:02,1242
2021-05-05,08:02,3094
2021-05-05,08:02,4279
2021-05-05,08:02,4227
2021-05-05,08:03,1495
2021-05-05,08:03,2706
2021-05-05,08:04,1478
2021-05-05,08:04,3132
2021-05-05,08:04,2762
2021-05-05,08:04,4835
2021-05-05,08:04,5466
2021-05-05,08:06,4060
2021-05-05,08:08,5451
2021-05-05,08:08,5246
2021-05-05,08:08,4288
2021-05-05,08:09,2537
2021-05-05,08:09,4654
2021-05-05,08:09,4806
2021-05-05,08:10,3082
2021-05-05,08:10,4856
2021-05-05,08:10,2895
2021-05-05,08:11,1964
2021-05-05,08:11,4793
2021-05-05,08:12,4500
2021-05-05,08:12,2935
2021-05-05,08:12,3084
2021-05-05,08:13,2925
2021-05-05,08:13,2043
2021-05-05,08:13,4637
2021-05-05,08:13,2290
2021-05-05,08:14,1436
2021-05-05,08:14,4277
2021-05-05,08:15,4948
2021-05-05,08:15,5180
2021-05-05,08:15,3603
2021-05-05,08:15,1264
2021-05-05,08:15,2570
2021-05-05,08:15,2306
2021-05-05,08:15,3880
2021-05-05,08:16,4686
2021-05-05,08:17,4057
2021-05-05,08:17,2094
2021-05-05,08:18,1359
2021-05-05,08:18,2905
2021-05-05,08:20,3249
2021-05-05,08:20,2520
2021-05-05,08:20,2376
2021-05-05,08:20,2217
2021-05-05,08:21,1633
2021-05-05,08:21,3757
2021-05-05,08:22,2827
2021-05-05,08:22,4010
2021-05-05,08:23,3829
2021-05-05,08:23,2088
2021-05-05,08:23,1290
2021-05-05,08:24,5118
2021-05-05,08:24,3117
2021-05-05,08:25,1157
2021-05-05,08:26,5244
2021-05-05,08:26,4030
2021-05-05,08:27,2179
2021-05-05,08:27,3184
2021-05-05,08:27,2375
2021-05-05,08:27,5098
2021-05-05,08:28,1759
2021-05-05,08:29,4329
2021-05-05,08:29,5444
2021-05-05,08:29,2482
2021-05-05,08:31,3247
2021-05-05,08:31,4457
2021-05-05,08:31,2195
2021-05-05,08:32,2897
2021-05-05,08:32,4285
2021-05-05,08:32,2493
2021-05-05,08:32,1056
2021-05-05,08:33,2845
2021-05-05,08:33,4714
2021-05-05,08:33,4184
2021-05-05,08:34,4726
2021-05-05,08:34,3010
2021-05-05,08:34,4940
2021-05-05,08:34,2659
2021-05-05,08:35,1858
2021-05-05,08:35,2942
2021-05-05,08:36,1820
2021-05-05,08:36,4690
2021-05-05,08:36,4207
2021-05-05,08:36,2757
2021-05-05,08:37,1622
2021-05-05,08:37,4621
2021-05-05,08:37,4577
2021-05-05,08:38,4145
2021-05-05,08:38,4517
2021-05-05,08:38,3956
2021-05-05,08:38,4974
2021-05-05,08:39,4850
2021-05-05,08:39,3574
2021-05-05,08:39,4723
2021-05-05,08:40,1223
2021-05-05,08:40,4481
2021-05-05,08:40,2501
2021-05-05,08:40,5434
2021-05-05,08:40,1076
2021-05-05,08:40,4311
2021-05-05,08:41,5119
2021-05-05,08:41,4614
2021-05-05,08:42,5259
2021-05-05,08:42,5046
2021-05-05,08:43,4953
2021-05-05,08:44,5272
2021-05-05,08:44,1272
2021-05-05,08:45,1162
2021-05-05,08:45,1492
2021-05-05,08:46,2469
2021-05-05,08:46,2772
2021-05-05,08:46,4936
2021-05-05,08:46,4373
2021-05-05,08:47,1281
2021-05-05,08:47,3306
2021-05-05,08:48,5323
2021-05-05,08:48,3340
2021-05-05,08:49,4410
2021-05-05,08:49,1620
2021-05-05,08:49,1847
2021-05-05,08:49,2483
2021-05-05,08:50,2883
2021-05-05,08:50,2424
2021-05-05,08:51,4689
2021-05-05,08:51,3867
2021-05-05,08:51,1173
2021-05-05,08:51,4809
2021-05-05,08:51,5367
2021-05-05,08:53,1825
2021-05-05,08:53,2150
2021-05-05,08:54,2725
2021-05-05,08:55,1417
2021-05-05,08:55,5287
2021-05-05,08:56,4211
2021-05-05,08:56,3747
2021-05-05,08:56,3940
2021-05-05,08:57,2077
2021-05-05,08:57,1103
2021-05-05,08:57,5304
2021-05-05,08:58,1425
2021-05-05,08:58,1922
2021-05-05,08:59,3098
2021-05-05,08:59,5073
2021-05-05,09:00,1528
2021-05-05,09:00,2463
2021-05-05,09:00,3825
2021-05-05,09:01,2668
2021-05-05,09:01,4254
2021-05-05,09:01,2685
2021-05-05,09:01,3162
2021-05-05,09:01,4498
2021-05-05,09:01,3330
2021-05-05,09:01,5105
2021-05-05,09:02,4291
2021-05-05,09:03,2147
2021-05-05,09:03,5214
2021-05-05,09:03,3712
2021-05-05,09:03,5421
2021-05-05,09:04,3715
2021-05-05,09:04,2206
2021-05-05,09:04,2302
2021-05-05,09:05,1468
2021-05-05,09:05,4494
2021-05-05,09:06,2884
2021-05-05,09:06,2971
2021-05-05,09:08,1795
2021-05-05,09:09,4228
2021-05-05,09:09,2065
2021-05-05,09:10,2766
2021-05-05,09:10,2262
2021-05-05,09:10,3839
2021-05-05,09:10,4251
2021-05-05,09:10,3178
2021-05-05,09:10,5461
2021-05-05,09:10,4111
2021-05-05,09:10,3399
2021-05-05,09:11,4150
2021-05-05,09:12,3107
2021-05-05,09:14,2116
2021-05-05,09:14,3051
2021-05-05,09:14,4247
2021-05-05,09:14,2717
2021-05-05,09:14,3188
2021-05-05,09:14,1165
2021-05-05,09:14,3273
2021-05-05,09:14,4186
2021-05-05,09:15,2616
2021-05-05,09:15,4884
2021-05-05,09:15,2138
2021-05-05,09:15,2809
2021-05-05,09:16,5382
2021-05-05,09:16,4107
2021-05-05,09:16,3336
2021-05-05,09:17,1286
2021-05-05,09:18,4707
2021-05-05,09:18,4200
2021-05-05,09:19,3047
2021-05-05,09:19,3313
2021-05-05,09:19,4163
2021-05-05,09:19,2966
2021-05-05,09:19,2008
2021-05-05,09:21,3678
2021-05-05,09:22,4795
2021-05-05,09:22,3268
2021-05-05,09:22,4138
2021-05-05,09:22,2802
2021-05-05,09:22,1671
2021-05-05,09:23,5078
2021-05-05,09:23,1738
2021-05-05,09:23,2750
2021-05-05,09:23,4728
2021-05-05,09:23,3780
