Date,Time,Token ID
2021-05-27,13:00,3832
2021-05-27,13:00,2997
2021-05-27,13:00,2025
2021-05-27,13:01,4170
2021-05-27,13:03,1927
2021-05-27,13:03,2685
2021-05-27,13:04,5078
2021-05-27,13:04,2488
2021-05-27,13:05,1045
2021-05-27,13:06,1955
2021-05-27,13:08,4353
2021-05-27,13:09,5403
2021-05-27,13:09,2617
2021-05-27,13:10,4396
2021-05-27,13:11,3994
2021-05-27,13:12,2290
2021-05-27,13:14,3035
2021-05-27,13:14,4936
2021-05-27,13:16,1490
2021-05-27,13:16,4574
2021-05-27,13:16,5119
2021-05-27,13:17,1264
2021-05-27,13:18,5059
2021-05-27,13:19,2077
2021-05-27,13:19,4873
2021-05-27,13:21,3829
2021-05-27,13:23,4721
2021-05-27,13:24,1372
2021-05-27,13:24,2237
2021-05-27,13:25,1835
2021-05-27,13:26,5180
2021-05-27,13:26,3498
2021-05-27,13:26,4060
2021-05-27,13:27,1216
2021-05-27,13:28,3960
2021-05-27,13:28,2951
2021-05-27,13:30,1607
2021-05-27,13:31,4923
2021-05-27,13:32,2085
2021-05-27,13:32,5332
2021-05-27,13:34,2381
2021-05-27,13:34,4776
2021-05-27,13:36,4490
2021-05-27,13:37,4881
2021-05-27,13:37,3229
2021-05-27,13:37,1281
2021-05-27,13:37,4884
2021-05-27,13:37,3135
2021-05-27,13:40,1337
2021-05-27,13:41,5366
2021-05-27,13:41,1957
2021-05-27,13:42,3054
2021-05-27,13:42,3009
2021-05-27,13:44,3804
2021-05-27,13:44,1468
2021-05-27,13:45,2772
2021-05-27,13:45,1706
2021-05-27,13:46,2238
2021-05-27,13:47,5167
2021-05-27,13:48,4455
2021-05-27,13:50,5469
2021-05-27,13:50,5279
2021-05-27,13:51,4793
2021-05-27,13:52,4856
2021-05-27,13:52,2175
2021-05-27,13:52,2808
2021-05-27,13:53,1174
2021-05-27,13:53,2043
2021-05-27,13:53,4494
2021-05-27,13:55,2507
2021-05-27,13:57,5129
2021-05-27,13:58,2093
2021-05-27,13:58,5096
2021-05-27,13:59,4791
2021-05-27,14:00,5425
2021-05-27,14:00,3085
2021-05-27,14:01,5148
2021-05-27,14:01,4723
2021-05-27,14:03,1187
2021-05-27,14:03,3973
2021-05-27,14:07,4285
2021-05-27,14:07,2884
2021-05-27,14:07,1666
2021-05-27,14:09,3183
2021-05-27,14:09,4911
2021-05-27,14:11,2841
2021-05-27,14:11,3138
2021-05-27,14:13,4551
2021-05-27,14:13,2006
2021-05-27,14:13,3242
2021-05-27,14:13,2688
2021-05-27,14:14,4930
2021-05-27,14:14,4174
2021-05-27,14:14,2919
2021-05-27,14:16,3986
2021-05-27,14:16,3343
2021-05-27,14:19,2459
2021-05-27,14:20,2236
2021-05-27,14:21,1394
2021-05-27,14:22,2692
2021-05-27,14:22,5342
2021-05-27,14:23,2987
2021-05-27,14:24,4578
2021-05-27,14:26,4526
2021-05-27,14:26,1277
2021-05-27,14:27,3453
2021-05-27,14:29,2571
2021-05-27,14:30,1738
2021-05-27,14:30,5254
2021-05-27,14:31,1516
2021-05-27,14:31,2400
2021-05-27,14:34,4394
2021-05-27,14:34,4940
2021-05-27,14:34,2088
2021-05-27,14:35,4008
2021-05-27,14:36,4517
2021-05-27,14:36,3262
2021-05-27,14:37,3954
2021-05-27,14:39,5151
2021-05-27,14:40,4224
2021-05-27,14:40,4184
2021-05-27,14:41,2055
2021-05-27,14:43,2750
2021-05-27,14:43,3161
2021-05-27,14:44,3162
2021-05-27,14:46,4572
2021-05-27,14:47,2616
2021-05-27,14:47,2492
2021-05-27,14:47,1286
2021-05-27,14:47,1978
2021-05-27,14:48,5320
2021-05-27,14:49,1633
2021-05-27,14:49,4974
2021-05-27,14:50,5010
2021-05-27,14:50,2465
2021-05-27,14:51,4669
2021-05-27,14:53,3094
2021-05-27,14:53,4541
2021-05-27,14:53,2311
2021-05-27,14:54,4621
2021-05-27,14:55,3393
2021-05-27,14:55,2802
2021-05-27,14:55,4706
2021-05-27,14:56,3831
